Item;SKU;Descrição;Qtd. Itens;Unid Med;Des Categoria;Peso Liquido;Peso Bruto SKU;Altura;Largura;Comprimento;Volume m3;Qtd. CX Altura;Qtd. CX Lastro;Cod. Barras;Clasificação ABC;Caixa
42AFC5002000;42AFC5002000CX;AFC50 FRITADEIRA SPACE 5 C CESTO 5L 220V;2;PC;AIR FRYER;0,1;10;0,36;0,345;0,685;0,085077;4;4;17908412504539;A;MASTER
42AFJ5002000;42AFJ5002000;AFJ50 FRITADEIRA VISIO 5L 220V;1;PC;AIR FRYER;0,1;4,9;0,348;0,335;0,335;0,039054;4;8;7908412504556;A;UNIDADE
42AFJ5002000;42AFJ5002000;AFJ50 FRITADEIRA VISIO 5L 220V;1;PC;AIR FRYER;0,1;4,9;0,348;0,335;0,335;0,039054;4;8;42AFJ5002000;A;UNIDADE
42AFJ5002000;42AFJ5002000CX;AFJ50 FRITADEIRA VISIO 5L 220V;2;PC;AIR FRYER;0,1;10,2;0,685;0,345;0,36;0,085077;4;4;17908412504553;A;MASTER
42AFJ5001000;42AFJ5001000;AFJ50 FRITADEIRA VISIO 5L 127V;1;PC;AIR FRYER;0,1;4,9;0,348;0,335;0,335;0,039054;4;8;7908412504549;A;UNIDADE
42AFJ5001000;42AFJ5001000;AFJ50 FRITADEIRA VISIO 5L 127V;1;PC;AIR FRYER;0,1;4,9;0,348;0,335;0,335;0,039054;4;8;42AFJ5001000;A;UNIDADE
42AFJ5001000;42AFJ5001000CX;AFJ50 FRITADEIRA VISIO 5L 127V;2;PC;AIR FRYER;0,1;10,2;0,685;0,345;0,36;0,085077;4;4;17908412504546;A;MASTER
42STM2002000;42STM2002000;STM20 VAPORIZADOR VERTICAL DE MÇO 220V;1;PC;ELET - CASA;0,1;1,04;0,17;0,14;0,3;0,00714;6;21;7908412500879;A;UNIDADE
42STM2002000;42STM2002000;STM20 VAPORIZADOR VERTICAL DE MÇO 220V;1;PC;ELET - CASA;0,1;1,04;0,17;0,14;0,3;0,00714;6;21;42STM2002000;A;UNIDADE
42STM2002000;42STM2002000CX;STM20 VAPORIZADOR VERTICAL DE MÇO 220V;6;PC;ELET - CASA;0,1;7,4;0,355;0,305;0,42;0,045476;3;7;42STM2002000CX;A;MASTER
42STM2002000;42STM2002000CX;STM20 VAPORIZADOR VERTICAL DE MÇO 220V;6;PC;ELET - CASA;0,1;7,4;0,355;0,305;0,42;0,045476;3;7;27908412500873;A;MASTER
42STM2001000;42STM2001000;STM20 VAPORIZADOR VERTICAL DE MÇO 127V;1;PC;ELET - CASA;0,1;1,04;0,17;0,14;0,3;0,00714;8;21;7908412500862;A;UNIDADE
42STM2001000;42STM2001000;STM20 VAPORIZADOR VERTICAL DE MÇO 127V;1;PC;ELET - CASA;0,1;1,04;0,17;0,14;0,3;0,00714;8;21;42STM2001000;A;UNIDADE
